"Notes","Sex","Sex Code","Single-Year Ages","Single-Year Ages Code",Deaths,Population,Crude Rate
,"Female","F","49 years","49",10,1936933,Unreliable
,"Female","F","51 years","51",16,2052848,Unreliable
,"Female","F","52 years","52",22,2168568,1.0
,"Female","F","53 years","53",17,2134513,Unreliable
,"Female","F","54 years","54",29,2056712,1.4
,"Female","F","55 years","55",50,2014056,2.5
,"Female","F","56 years","56",54,2026928,2.7
,"Female","F","57 years","57",91,2057408,4.4
,"Female","F","58 years","58",92,2145182,4.3
,"Female","F","59 years","59",97,2196292,4.4
,"Female","F","60 years","60",147,2200363,6.7
,"Female","F","61 years","61",164,2208227,7.4
,"Female","F","62 years","62",198,2205798,9.0
,"Female","F","63 years","63",245,2165952,11.3
,"Female","F","64 years","64",280,2130360,13.1
,"Female","F","65 years","65",371,2113784,17.6
,"Female","F","66 years","66",440,2079118,21.2
,"Female","F","67 years","67",440,1994754,22.1
,"Female","F","68 years","68",641,1951621,32.8
,"Female","F","69 years","69",772,1886191,40.9
,"Female","F","70 years","70",881,1809211,48.7
,"Female","F","71 years","71",1195,1740156,68.7
,"Female","F","72 years","72",1353,1660982,81.5
,"Female","F","73 years","73",1601,1580761,101.3
,"Female","F","74 years","74",1916,1533626,124.9
,"Female","F","75 years","75",2336,1490475,156.7
,"Female","F","76 years","76",2832,1551093,182.6
,"Female","F","77 years","77",2781,1104696,251.7
,"Female","F","78 years","78",3155,1055637,298.9
,"Female","F","79 years","79",3727,1019493,365.6
,"Female","F","80 years","80",4505,1019564,441.9
,"Female","F","81 years","81",4792,865416,553.7
,"Female","F","82 years","82",5066,769057,658.7
,"Female","F","83 years","83",5322,695974,764.7
,"Female","F","84 years","84",5798,634193,914.2
,"Female","F","85 years","85",6291,Not Applicable,Not Applicable
,"Female","F","86 years","86",6712,Not Applicable,Not Applicable
,"Female","F","87 years","87",6934,Not Applicable,Not Applicable
,"Female","F","88 years","88",7433,Not Applicable,Not Applicable
,"Female","F","89 years","89",7202,Not Applicable,Not Applicable
,"Female","F","90 years","90",7467,Not Applicable,Not Applicable
,"Female","F","91 years","91",7604,Not Applicable,Not Applicable
,"Female","F","92 years","92",7375,Not Applicable,Not Applicable
,"Female","F","93 years","93",7184,Not Applicable,Not Applicable
,"Female","F","94 years","94",6600,Not Applicable,Not Applicable
,"Female","F","95 years","95",6004,Not Applicable,Not Applicable
,"Female","F","96 years","96",5142,Not Applicable,Not Applicable
,"Female","F","97 years","97",4326,Not Applicable,Not Applicable
,"Female","F","98 years","98",3506,Not Applicable,Not Applicable
,"Female","F","99 years","99",2689,Not Applicable,Not Applicable
,"Female","F","100+ years","100",5603,Not Applicable,Not Applicable
"Total","Female","F",,,149541,169165495,88.4
,"Male","M","52 years","52",11,2161378,Unreliable
,"Male","M","53 years","53",16,2123079,Unreliable
,"Male","M","54 years","54",23,2037774,1.1
,"Male","M","55 years","55",23,1988381,1.2
,"Male","M","56 years","56",44,1984546,2.2
,"Male","M","57 years","57",58,2007902,2.9
,"Male","M","58 years","58",86,2071240,4.2
,"Male","M","59 years","59",69,2114322,3.3
,"Male","M","60 years","60",118,2105429,5.6
,"Male","M","61 years","61",133,2104747,6.3
,"Male","M","62 years","62",191,2091013,9.1
,"Male","M","63 years","63",244,2044859,11.9
,"Male","M","64 years","64",271,1991406,13.6
,"Male","M","65 years","65",318,1963214,16.2
,"Male","M","66 years","66",378,1913891,19.8
,"Male","M","67 years","67",437,1812312,24.1
,"Male","M","68 years","68",525,1757006,29.9
,"Male","M","69 years","69",646,1678837,38.5
,"Male","M","70 years","70",726,1595441,45.5
,"Male","M","71 years","71",912,1523668,59.9
,"Male","M","72 years","72",1009,1433201,70.4
,"Male","M","73 years","73",1150,1353838,84.9
,"Male","M","74 years","74",1364,1303672,104.6
,"Male","M","75 years","75",1626,1263897,128.6
,"Male","M","76 years","76",1919,1326967,144.6
,"Male","M","77 years","77",1869,908720,205.7
,"Male","M","78 years","78",1992,854068,233.2
,"Male","M","79 years","79",2450,812371,301.6
,"Male","M","80 years","80",2923,800819,365.0
,"Male","M","81 years","81",2994,663736,451.1
,"Male","M","82 years","82",3107,574372,540.9
