age,qx
50,0.005308
51,0.005686
52,0.006118
53,0.006620
54,0.007184
55,0.007766
56,0.008369
57,0.009042
58,0.009795
59,0.010606
60,0.011467
61,0.012333
62,0.013173
63,0.013981
64,0.014798
65,0.015666
66,0.016726
67,0.017853
68,0.019122
69,0.020526
70,0.021919
71,0.023536
72,0.025372
73,0.027616
74,0.029889
75,0.033726
76,0.036933
77,0.041016
78,0.044758
79,0.049530
80,0.054120
81,0.059483
82,0.065401
83,0.072224
84,0.080609
85,0.089139
86,0.099586
87,0.111021
88,0.123484
89,0.137001
90,0.151584
91,0.167229
92,0.183913
93,0.201590
94,0.220190
95,0.239623
96,0.259772
97,0.280504
98,0.301662
99,0.323082
100,1
