"Notes","Sex","Sex Code","Single-Year Ages","Single-Year Ages Code",Deaths,Population,Crude Rate
,"Female","F","< 1 year","0",9038,1784146,506.6
,"Female","F","1 year","1",699,1806761,38.7
,"Female","F","2 years","2",419,1764724,23.7
,"Female","F","3 years","3",345,1832223,18.8
,"Female","F","4 years","4",267,1863907,14.3
,"Female","F","5 years","5",271,1904677,14.2
,"Female","F","6 years","6",221,1940157,11.4
,"Female","F","7 years","7",205,1992913,10.3
,"Female","F","8 years","8",210,2010922,10.4
,"Female","F","9 years","9",200,1999368,10.0
,"Female","F","10 years","10",195,1996583,9.8
,"Female","F","11 years","11",234,1996442,11.7
,"Female","F","12 years","12",246,2013129,12.2
,"Female","F","13 years","13",300,2057895,14.6
,"Female","F","14 years","14",405,2102597,19.3
,"Female","F","15 years","15",509,2181907,23.3
,"Female","F","16 years","16",579,2178189,26.6
,"Female","F","17 years","17",687,2146325,32.0
,"Female","F","18 years","18",831,2128851,39.0
,"Female","F","19 years","19",901,2143573,42.0
,"Female","F","20 years","20",915,2124351,43.1
,"Female","F","21 years","21",1016,2115763,48.0
,"Female","F","22 years","22",1134,2156136,52.6
,"Female","F","23 years","23",1157,2159282,53.6
,"Female","F","24 years","24",1314,2128829,61.7
,"Female","F","25 years","25",1280,2128333,60.1
,"Female","F","26 years","26",1397,2137861,65.3
,"Female","F","27 years","27",1464,2151129,68.1
,"Female","F","28 years","28",1630,2190074,74.4
,"Female","F","29 years","29",1843,2235065,82.5
,"Female","F","30 years","30",2033,2270957,89.5
,"Female","F","31 years","31",2213,2327816,95.1
,"Female","F","32 years","32",2427,2366074,102.6
,"Female","F","33 years","33",2611,2373133,110.0
,"Female","F","34 years","34",2718,2302887,118.0
,"Female","F","35 years","35",2808,2260999,124.2
,"Female","F","36 years","36",2722,2230154,122.1
,"Female","F","37 years","37",3076,2231923,137.8
,"Female","F","38 years","38",3270,2231776,146.5
,"Female","F","39 years","39",3295,2187712,150.6
